Transkribus-ID;AkteNummer;Akte_Scan;Tags;Finder-Tags;Datum;Dokumententyp;Titel;Nr. Of Pages;Transkibus-Transkription-Status
6478650;1;Akte_001.1_S001.jpg;Vollständig;Maschinell, Handschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S002.jpg;Ja;Maschinell, Handschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S003.jpg;Ja;Maschinell, Handschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S004.jpg;Ja;Maschinell, Handschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S005.jpg;Ja;Maschinell, Handschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S006.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S007.jpg;Ja;Handschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S008.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S009.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S010.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S011.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S012.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S013.jpg;Ja;Maschinell, Handschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S014.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S015.jpg;Ja;Maschinell, Handschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S016.jpg;Ja;Maschinell, Handschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S017.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S018.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S019.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S020.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S021.jpg;Ja;Handschrift, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S022.jpg;Ja;Handschrift, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S023.jpg;Ja;Handschrift, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.1_S024.jpg;Ja;Handschrift, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S001.jpg;Ja;Handschrift, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S002.jpg;Ja;Handschrift, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S003.jpg;Ja;Handschrift, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S004.jpg;Ja;Handschrift, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S005.jpg;Ja;;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S006.jpg;Ja;Handschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S007.jpg;Ja;Handschrift, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S008.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S009.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S010.jpg;Ja;Maschinell, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S011.jpg;Ja;Maschinell, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S012.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S013.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S014.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S016.jpg;Ja;Maschinell, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S017.jpg;Ja;Maschinell, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S018.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S019.jpg;Ja;Maschinell, mitUnterschrift;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S020.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
6478650;1;Akte_001.2_S021.jpg;Ja;Maschinell;1925 - 1943;Brief;"Erbe ""Walter""";118;Teilweise GT
