Akte;Date Created;Nr. Of Pages;Transkribus-ID
Akte_001;Jan 22;118;6478650
Akte_002;Jan 22;32;6478651
Akte_003;Jan 22;24;6478652
Akte_004;Jan 22;4;6478517
Akte_005;Jan 22;4;6478535
Akte_006;Jan 22;3;6478887
Akte_007;Jan 22;6;6478888
Akte_008;Jan 22;2;6478907
Akte_009;Jan 22;2;6478947
Akte_010;Jan 22;1;6478948
Akte_011;Jan 22;1;6478967
Akte_012;Jan 22;1;6478987
Akte_013;Jan 22;4;6479007
Akte_014;Jan 22;1;6479027
Akte_015;Jan 22;1;6478949
Akte_016;Jan 22;1;6478891
Akte_017;Jan 22;1;6479107
Akte_018;Jan 22;1;6479008
Akte_019;Jan 22;1;6478910
Akte_020;Jan 22;1;6478911
Akte_021;Jan 22;1;6478988
Akte_022;Jan 22;1;6478955
Akte_023;Jan 22;1;6478956
Akte_024;Jan 22;1;6478892
Akte_025;Jan 22;1;6479029
Akte_026;Jan 22;1;6478991
Akte_027;Jan 22;1;6479030
Akte_028;Jan 22;3;6479034
Akte_029;Jan 22;1;6478957
Akte_030;Jan 22;1;6479051
Akte_031;Jan 22;1;6479052
Akte_032;Jan 22;1;6478963
Akte_033;Jan 22;1;6479038
Akte_034;Jan 22;1;6478964
Akte_035;Jan 22;1;6479039
Akte_036;Jan 23;1;6490236
Akte_037;Jan 23;1;6490205
Akte_038;Jan 23;3;6490204
Akte_039;Jan 23;1;6490215
Akte_040;Jan 23;2;6490203
Akte_041;Jan 23;1;6490235
Akte_042;Jan 23;4;6490202
Akte_043;Jan 23;1;6490201
Akte_044;Jan 23;1;6490200
Akte_045;Jan 23;2;6490214
Akte_046;Jan 23;1;6490234
Akte_047;Jan 23;2;6490199
Akte_048;Jan 23;3;6490198
Akte_049;Jan 23;1;6490233
Akte_050;Jan 23;1;6490232
Akte_051;Jan 23;1;6490231
Akte_052;Jan 23;1;6490197
Akte_053;Jan 23;1;6490213
Akte_054;Jan 23;1;6490196
Akte_055;Jan 23;1;6490212
Akte_056;Jan 23;1;6490230
Akte_057;Jan 23;1;6490211
Akte_058;Jan 23;1;6490195
Akte_059;Jan 23;1;6490194
Akte_060;Jan 23;1;6490210
Akte_061;Jan 23;1;6490193
Akte_062;Jan 23;1;6490209
Akte_063;Jan 23;1;6490172
Akte_064;Jan 23;1;6490208
Akte_065;Jan 23;1;6490229
Akte_066;Jan 23;1;6490228
Akte_067;Jan 23;1;6490171
Akte_068;Jan 23;1;6490227
Akte_069;Jan 23;1;6490126
Akte_070;Jan 23;1;6490207
Akte_071;Jan 23;1;6489766
Akte_072;Jan 23;2;6489765
Akte_073;Jan 23;1;6490192
Akte_074;Jan 23;1;6490191
Akte_075;Jan 23;1;6490190
