"nodegoat ID";"Object ID";Name;"Source Object ID";"Source Value";Analysis;"Alternativer Organisationsname";"Teil von Organisation - Object ID";"hat Teilorganisation - Object ID";"[hat Feldpostnummer] Feldpostnummer";Typus
ngSZ8q48dTpEcUJEcS52dhZFpUMPiEZrfTm;12018084;"4. Panzer-Division";;;;;;11876693;;"Staatliche Organisation"
ngLS7X78wNCX8NCHvL858aSUiLlIbXSYyNZ;12016977;"Badischer Sängerbund";;;;"Gau XV Baden im DSB";12016978;;;Verein
ngLS7X78wNCX8NCHvL858aSUiLlIbXSYyNZ;12016977;"Badischer Sängerbund";;;;"Gau XV Badischer Sängerbund";12016978;;;Verein
ngLS7X78wNCX8NCHvL858aSUiLlIbXSYyNZ;12016977;"Badischer Sängerbund";;;;"Gau XV Baden";12016978;;;Verein
ngMT7Y88xNzY8ODYwM96ybThjNGJcYTZzNw;12016978;D.S.B.;;;;DSB;;12016977;;Verein
ngMT7Y88xNzY8ODYwM96ybThjNGJcYTZzNw;12016978;D.S.B.;;;;"Deutscher Sängerbund";;12016977;;Verein
ngYF6G48jZlK4APsiZ52lnFLvZSVoKFHlZi;12016964;NSDAP;;;;"Nationalsozialistische Partei Deutschland";;;;Verein
ngYF6G48jZlK4APsiZ52lnFLvZSVoKFHlZi;12016964;NSDAP;;;;"Nationalsozialistische Partei Deutschlands";;;;Verein
ngQX0k48bSXC5SHQaRJ2cfXFnBKM8CXpdRU;11876504;"Männerchor Murg";;;;"Männer-Gesangverein Murg";;;;Verein
ngQX0k48bSXC5SHQaRJ2cfXFnBKM8CXpdRU;11876504;"Männerchor Murg";;;;"Alter Schweizer Männerchor";;;;Verein
ngXE8v98iZEJ0ZOPhZQ7kmEMuZRUnJEwkZB;11876489;"Musterchor Mu(n)ster";;;;"Musterchor Mu(n)ster";;;;Verein
ngXE8v98iZEJ9ZOPhXQ71mEMuZRUnJEwkZB;12016989;"Verein für das Deutschtum im Ausland";;;;V.D.A.;;;;Verein
ngXE8v98iZEJ9ZOPhXQ71mEMuZRUnJEwkZB;12016989;"Verein für das Deutschtum im Ausland";;;;VDA;;;;Verein
ngXE8v98iZEJ9ZOPhXQ71mEMuZRUnJEwkZB;12016989;"Verein für das Deutschtum im Ausland";;;;"VDA – Gesellschaft für Deutsche Kulturbeziehungen im Ausland";;;;Verein
ngXE8v98iZEJ9ZOPhXQ71mEMuZRUnJEwkZB;12016989;"Verein für das Deutschtum im Ausland";;;;"Volksbund für das Deutschtum im Ausland";;;;Verein
ngXE8v98iZEJ9ZOPhXQ71mEMuZRUnJEwkZB;12016989;"Verein für das Deutschtum im Ausland";;;;"Verein für das Deutschtum im Ausland, Schulverein e. V.";;;;Verein
ngXE8v98iZEJ9ZOPhXQ71mEMuZRUnJEwkZB;12016989;"Verein für das Deutschtum im Ausland";;;;"Allgemeiner Deutscher Schulverein zur Erhaltung des Deutschtums im Auslande";;;;Verein
ngZG9x18kAmL1BQxjAI92oGIwAzWpLGymAj;11876691;"16. Infanterie Division (motorisiert)";;;;"16. Inf. Div. (mot)";11876690;11876614;;"Staatliche Organisation"
ngYF9w08jAPK0APYiAH80nFNvASVoKFxlAM;11876690;"2. Armee";;;;;;11876691;;"Staatliche Organisation"
ngRY3N18cReD3TIZbSA96gYSoRrOhDYOeRb;11876631;"Feldersatz-Bataillon  205.";;;;;;;56601;"Staatliche Organisation"
ngBI9v38mCyN6DSzlCU1mqICyBbYrNIwoCv;11876693;"2. Kraftwagen-Werkstatt-Kompanie 84";;;;;;;66683;"Staatliche Organisation"
ngDK1Z78oFUP8FUZnD858sKEaDdAtPKAqFR;11876617;"2. Kompanie 8. Ersatz-Marine-Artillerie-Abteilung";;;;;;;"31447 A";"Staatliche Organisation"
ngWD8O88hWNIgYNSgW96jlDLtXwS8IFhjWA;11876688;"78. Infanterie-Division";;;;;;;;"Staatliche Organisation"
ngJQ2J38uJAV7LAdtKS13yQSgJjGzVQKwJX;11876623;"7. kleine Kraftwagenkolonne Panzer-Divisions-Kolonne 84";;;;;;;12495;"Staatliche Organisation"
ngFM1B98qGcRsHWFpG071uMGcGfCvRMCsGz;11876619;"2. Kompanie Sturm-Pionier-Bataillon 178";;;;;11876688;;15605;"Staatliche Organisation"
ngWD3A68hXNIgYNWgW74hlDTtYQTmIDBjXK;11876636;"Infanterie Ersatz Regiment 420";;;;;;;;"Staatliche Organisation"
ngUB3Y48fVBG6WLseUD26jBHrVORkGBZhVY;11876634;"2. Kompanie Infanterie-Ersatz-Bataillon 358";;;;;;;;"Staatliche Organisation"
ngHO2H18sHeT6JYHrIg93wOUeHBExTOIuHb;11876621;"2.Kraftfahrzeug Ersatz Abteilung 5";;;;;;;34565;"Staatliche Organisation"
ngGN2C08rHNSsIXSqGf84vNbdIADwSNDtHK;11876620;"2. Kompanie Wach-Bataillon 58";;;;;;;18803;"Staatliche Organisation"
