"nodegoat ID";"Object ID";Name;"Source Object ID";"Source Value";Analysis;"Alternativer Ort Name";GeoNames;WikidataID;"Teil von - Object ID";"hat Teilorte - Object ID"
ngSZ5E88dSfE0UJGeT969hZTpSsPiEZFfSc;12018158;Österreich;;;;Ostmark;2782113;Q1457322;12016822;12017062
ngCJ9w48nDJO8ETGoDb2orJPzDWZsOJxpDG;11876494;Danzig;11283266;;;Gdansk;3099434;;12016823;
ngMT5Y28xMDYwODQyN306bTRjOGJcYTZzMA;11876652;Jalta;;;;;688533;;12016962;
ngQX5C68bRXC7SHCcSJ4dfXhnQqNgCXDdRU;12018156;"Gasthaus Peter";;;;"Gasthaus Peter, Murg";;;11876503;
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12018068
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12017061
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12017032
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12016988
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12016984
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12016983
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12016975
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12016826
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12016825
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12016821
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12016817
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876698
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876692
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876689
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876687
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876645
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876644
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876643
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876642
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876521
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876520
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876503
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876499
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;11876493
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12017033
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Vaterland;;Q518617;;12016981
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12018068
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12017061
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12017032
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12016988
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12016984
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12016983
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12016975
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12016826
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12016825
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12016821
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12016817
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876698
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876692
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876689
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876687
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876645
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876644
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876643
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876642
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876521
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876520
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876503
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876499
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;11876493
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12017033
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;NS-Staat;;Q518617;;12016981
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12018068
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12017061
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12017032
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12016988
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12016984
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12016983
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12016975
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12016826
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12016825
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12016821
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12016817
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876698
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876692
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876689
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876687
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876645
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876644
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876643
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876642
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876521
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876520
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876503
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876499
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;11876493
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12017033
ngIP2I28tIPU5KZIuKB0txPVfKCFyUPJvIM;12016822;"Deutsches Reich";;;;Deutschland;;Q518617;;12016981
ngFM1B98qGcRsHWFrG079uMacFZCvRMCsGz;11876519;Niederhof;;;;Murg-Niederhof;2863309;;11876503;
ngEL1A88pFrQ8GVSqFd62tLNbFeBuQLBrFo;12016818;"Lager Luisenberg 27/3 Eckernförde";;;;"Lager Luisenberg";;;12018154;
ngOV5A48zPlA5QFOaOH27dVXlPoLeAVBbPi;12018154;Eckernförde;;;;;6555444;Q490453;12016822;
ngPW2H98aQcB9RGDbRY7zeWMmRJMfBWIcQz;12017029;Pfänder;;;;;2768947;Q698608;12017062;
ngOV5A48zPlA4QFGaP529dVLlOILeAVBbPi;11876654;"Teillazarett St. Elisabethen Krankenhaus";;;;"Teillazarett St. Elisabethen Krankenhaus Ulm";6254970;;12018153;
ngNU5V38yPUZzPEFzNm15cUikPHKdZUWaPR;12018153;Ulm;;;;"Ulm a. d. Donau";2820256;Q3012;12016822;
ngNU5V38yPUZzPEFzNm15cUikPHKdZUWaPR;12018153;Ulm;;;;"Ulm an der Donau";2820256;Q3012;12016822;
ngNU5V38yPUZzPEFzNm15cUikPHKdZUWaPR;12018153;Ulm;;;;"Ulm (Donau)";2820256;Q3012;12016822;
ngNU5V38yPUZzPEFzNm15cUikPHKdZUWaPR;12018153;Ulm;;;;Ulm/Donau;2820256;Q3012;12016822;
ngXE3B78iXuJ2ZOFjZQ5kmEsuZRUnJECkXr;11876637;"Reservelazarett Donaueschingen";;;;;;Q125676365;12018152;
ngMT5Y28xMDYxODYyOF02bTljMmJcYTZzMA;12018152;Donaueschingen;;;;;6558125;Q83062;12016822;
ngFM1B98qGcR9HWJrGO7puMCcFZCvRMCsGz;12016819;"Marinekaserne Husum";;;;Fliegerhorstkaserne;;Q110265730;12018151;
ngFM1B98qGcR9HWJrGO7puMCcFZCvRMCsGz;12016819;"Marinekaserne Husum";;;;"Leicester Barracks";;Q110265730;12018151;
ngFM1B98qGcR9HWJrGO7puMCcFZCvRMCsGz;12016819;"Marinekaserne Husum";;;;Marinekaserne;;Q110265730;12018151;
ngLS5X18wLSXwNCbxL291aSgiLFIbXSYyLP;12018151;Husum;;;;;6557335;Q21159;12016822;
ngYF3G88jYPKiAPwkY96knFpvYyVoKFHlYM;11922438;"Hotel Schützen, Säckingen";;;;"Hotel Schützen";;;11876642;
ngYF3G88jYPKiAPwkY96knFpvYyVoKFHlYM;11922438;"Hotel Schützen, Säckingen";;;;Schützen;;;11876642;
ngIP4I88tKPUtKZWuJB69xPJfIiFyUPJvKM;12018148;Freiburg;;;;"Freiburg im Br.";2925177;Q2833;12016822;12017030
ngIP4I88tKPUtKZWuJB69xPJfIiFyUPJvKM;12018148;Freiburg;;;;"Freiburg i. Breisgau";2925177;Q2833;12016822;12017030
ngIP4I88tKPUtKZWuJB69xPJfIiFyUPJvKM;12018148;Freiburg;;;;"Freiburg i. Br.";2925177;Q2833;12016822;12017030
ngIP4I88tKPUtKZWuJB69xPJfIiFyUPJvKM;12018148;Freiburg;;;;"Freiburg im Breisgau";2925177;Q2833;12016822;12017030
ngLS5X18wLSXxNCjxLE9vaSIiLFIbXSYyLP;11876651;"Leopoldkaserne München";;;;"Prinz Leopoldkaserne München";;Q2110552;12016826;
ngLS5X18wLSXxNCjxLE9vaSIiLFIbXSYyLP;11876651;"Leopoldkaserne München";;;;Prinz-Leopold-Kaserne;;Q2110552;12016826;
ngLS5X18wLSXxNCjxLE9vaSIiLFIbXSYyLP;11876651;"Leopoldkaserne München";;;;"Prinz Leopold Kaserne";;Q2110552;12016826;
ngNU5V38yPUZyPEBzOG1xcUikOHKdZUWaPR;11876653;Stalingrad;;;;Volgograd;472757;;12016820;
ngNU5V38yPUZyPEBzOG1xcUikOHKdZUWaPR;11876653;Stalingrad;;;;Wolgograd;472757;;12016820;
ngGN2C08rHNStIXYsHP81vNxdGgDwSNDtHK;11930320;"Gasthaus Salmen, Rhina";;;;Salmen;;;11876517;
ngGN2C08rHNStIXYsHP81vNxdGgDwSNDtHK;11930320;"Gasthaus Salmen, Rhina";;;;"zum Salmen";;;11876517;
ngOV8e08zObA4QFGaPX80dVnlOoLeAVfbOy;12016980;"Hotel Krone, Tiengen";;;;"Hotel Krone Tiengen";;;12016984;
ngOV8e08zObA4QFGaPX80dVnlOoLeAVfbOy;12016980;"Hotel Krone, Tiengen";;;;"Hotel Krone";;;12016984;
ngOV8e08zObA4QFGaPX80dVnlOoLeAVfbOy;12016980;"Hotel Krone, Tiengen";;;;"Saal im Hotel Krone";;;12016984;
ngOV8e08zObA4QFGaPX80dVnlOoLeAVfbOy;12016980;"Hotel Krone, Tiengen";;;;"Saal des Hotel Krone";;;12016984;
ngDK4D38oEKP7FULpFM17sKAaDXAtPKEqEH;11922443;"Gasthaus Linde, Niederhof";;;;;;;11876519;
ngPW0H38aPGBaRGXbRY13eWomQpMfBWIcPD;11876503;Murg;;;;"Murg (Baden)";6555918;Q550673;;12017031
