"nodegoat ID";"Object ID";Name;"Source Object ID";"Source Value";Analysis;Rollenname;"Alternativer Rollenname"
ngSZ3O28dSpE3UJW7T307hZnpUMPiEZPfSm;11876532;Aktivmitglied;;;;Aktivmitglied;
ngFM7z18qFcR6HWT6Ge9ruMGcFfCvRMasFz;12016971;Bürgermeister;;;;Bürgermeister;
ngPW2H98aQcB0RGT4Q070eWCmRJMfBWIcQz;11876529;Chorleiter;;;;Chorleiter;
ngUB8s68fVLGeWLU1VD40jBHrUORkGBthVI;12016986;Dirigent;;;;Dirigent;
ngJQ2J38uJAV7LAd8KS17yQWgKDGzVQKwJX;11876523;Ehrenmitglied;;;;Ehrenmitglied;
ngAH9u28lBnM7CRy7AT0npHvxAUXqMHvnBk;12016992;Ehrenvorsitzender;;;;Ehrenvorsitzender;Ehrenpräsident
ngAH9u28lBnM7CRy7AT0npHvxAUXqMHvnBk;12016992;Ehrenvorsitzender;;;;Ehrenvorsitzender;Ehrenführer
ngPW0H38aPGBaRGX8RY14eWkmRJMfBWIcPD;11876603;Feldwebel;;;;Feldwebel;
ngNU0F18yNkZzPEF6NG92cUCkPHKdZUGaNh;11876601;Flieger;;;;Flieger;
ngXE6F38iZOJ3ZOr8Xw1kmEouYxUnJEGkZL;12016963;Führer;;;;Führer;"Der Führer"
ngYF9w08jAPKlAPY5Y185nFDvASVoKFxlAM;12016990;Gauleiter;;;;Gauleiter;
ngYF9w08jAPK0APY5AH81nFNvYSVoKFxlAM;11876590;Gefreiter;;;;Gefreiter;
ngBI9v38mCyN6DSz8B416qIsyCbYrNIwoCv;11876593;"Hilf Zoll Betriebsassistent";;;;"Hilf Zoll Betriebsassistent";HizBass
ngMT2E68xOTYyODM1Nl4wbTRjNGJcYTFzOQ;11876526;Kassierer;;;;Kassierer;
ngIP7y48tKPU9KZM9Ih24xPFfKCFyUPzvKM;12016974;Kreissängerführer;;;;Kreissängerführer;
ngBI6r78mDIN9DSv2DK57qIayCbYrNIsoDF;12016967;Kreissängerführer;;;;Kreissängerführer;
ngHO7b38sHYT8JYV8Hg15wOWeJBExTOcuHV;12016973;Landrat;;;;Landrat;
ngMT0E08xMTY4ODc5Nl82bTBjMGJcYTFzMQ;11876600;Maat;;;;Maat;
ngTA8r58eUKF0VKj0VC3eiAUqUtQjFAsgUH;12016985;Malermeister;;;;Malermeister;
ngRY0J58cSoDdTID0R63dgYmoSLOhDYKeSl;11876605;"Marine Artillerie Maat";;;;"Marine Artillerie Maat";"M.A. Maat"
ngDK9x58oEUP8FUD0FW38sKuaEdAtPKyqER;11876595;Obergefreiter;;;;Obergefreiter;
ngAH9u28lBnM6CRM7CT07pHXxBUXqMHvnBk;11876592;Oberschütze;;;;Oberschütze;OSchtz
ngAH9u28lBnM6CRM7CT07pHXxBUXqMHvnBk;11876592;Oberschütze;;;;Oberschütze;OS
ngHO9b98sJYTsJYH4IQ71wOceJBExTOcuJV;11876599;Oberzahlmeister;;;;Oberzahlmeister;
ngVC8t78gViHfXMZ2VE5gkCOsVvSlHCuiVf;12016987;Ortsverbandsleiter;;;;Ortsverbandsleiter;
ngCJ9w48nDJO8ETG9Db2nrJHzEWZsOJxpDG;11876594;Panzerspäher;;;;Panzerspäher;
ngTA3P38eTAF5VKH8TM13iAoqTNQjFAQgTX;11876533;Passivmitglied;;;;Passivmitglied;
ngZG9x18kAmLmBQp6Z294oGOwATWpLGymAj;12016991;Präsident;;;;Präsident;
ngOV0G28zOVAaQFA7Pn07dVBlOILeAVHbOS;11876602;Rottenführer;;;;Rottenführer;
ngNU2F78yPEZyPEZ2NW5acUOkOnKdZUGaPB;11876527;Sachwalter;;;;Sachwalter;
ngDK6t98oEaP0FUL4EW7qsKQaFXAtPKuqEx;12016969;Sangesbruder;;;;Sangesbruder;Sängerbruder
ngLS2H58wLCXxNCD0Lk3xaSIiMFIbXSIyLZ;11876525;Schriftführer;;;;Schriftführer;
ngZG9x18kAmL1BQx6AI96oGywZzWpLGymAj;11876591;Soldat;;;;Soldat;
ngQX0k48bSXC5SHQ9Q528fXVnBKM8CXpdRU;11876604;Unteroffizier;;;;Unteroffizier;
ngFM9d78qFWRsHWB2Fe5ruMwcFfCvRMesFT;11876597;Unteroffizier;;;;Unteroffizier;
ngBI1J58mBoN8DSN0B63mqIYyMVX6NICoCl;11876515;Vereinsführer;;;;Vereinsführer;Vereinsvorstand
ngBI1J58mBoN8DSN0B63mqIYyMVX6NICoCl;11876515;Vereinsführer;;;;Vereinsführer;Vereinspräsident
ngBI1J58mBoN8DSN0B63mqIYyMVX6NICoCl;11876515;Vereinsführer;;;;Vereinsführer;Vereinsleiter
ngKR2G48vMRW6MBa9LT26zRZhLEHaWRHxMO;11876524;Vorstand;;;;Vorstand;
ngGN9a88rINStIXK3HP63vNbdGADwSNbtIK;11876598;Werkmeister;;;;Werkmeister;
ngRY3N18cReD3TIZ6SA92gYKoRrOhDYOeRb;11876531;Wirt;;;;Wirt;
ngOV2G88zQFA9QFK3QH6zdVLlPILeAVHbQC;11876528;"Zweiter Vorstand";;;;"Zweiter Vorstand";
